d1 
PN   2,5 6 10 16 25 40 63 100 160 250 320 400 / f1 f2 f3 f4 W x y Z alpha R
DN10 35 35 40 40 40 40 40 40 40 40 40 40 / 2 4,5 4,0 2,0 24 34 35 23 —  2,5
DN15 40 40 45 45 45 45 45 45 45 45 45 45 / 2 4,5 4,0 2,0 29 39 40 28 —  2,5
DN20 50 50 58 58 58 58 58 58 —  —  —  —  / 2 4,5 4,0 2,0 36 50 51 35 41 2,5
DN25 60 60 68 68 68 68 68 68 68 68 68 68 / 2 4,5 4,0 2,0 43 57 58 42 41 2,5
DN32 70 70 78 78 78 78 78 78 —  —  —  —  / 2 4,5 4,0 2,0 51 65 66 50 41 2,5
DN40 80 80 88 88 88 88 88 88 88 88 88 88 / 3 4,5 4,0 2,0 61 75 76 60 41 2,5
DN50 90 90 102 102 102 102 102 102 102 102 102 102  / 3 4,5 4,0 2,0 73 87 88 72 41 2,5
DN65 110 110 122 122 122 122 122 122 122 122 122 122  / 3 4,5 4,0 2,0 95 109 110 94 41 2,5
DN80 128 128 138 138 138 138 138 138 138 138 138 138 / 3 4,5 4,0 2,0 106 120 121 105 41 2,5
DN100 148 148 158 158 162 162 162 162 162 162 162 162 / 3 5,0 4,5 2,5 129 149 150 128 32 3
DN125 178 178 188 188 188 188 188 188 188 188 188 188 / 3 5,0 4,5 2,5 155 175 176 154 32 3
DN150 202 202 212 212 218 218 218 218 218 218 218 218 / 3 5,0 4,5 2,5 183 203 204 182 32 3
DN200 258 258 268 268 278 285 285 285 285 285 285 285 / 3 5,0 4,5 2,5 239 259 260 238 32 3
DN250 312 312 320 320 335 345 345 345 345 345 345 — / 3 5,0 4,5 2,5 292 312 313 291 32 3
DN300 365 365 370 378 395 410 410 410 410 410 — — / 4 5,0 4,5 2,5 343 363 364 342 32 3
DN350 415 415 430 438 450 465 465 465 — — — — / 4 5,5 5,0 3,0 395 421 422 394 27 3,5
DN400 465 465 482 490 505 535 535 535 — — — — / 4 5,5 5,0 3,0 447 473 474 446 27 3,5
DN450 520 520 532 550 555 560 560 560 — — — — / 4 5,5 5,0 3,0 497 523 524 496 27 3,5
DN500 570 570 585 610 615 615 615 615 — — — — / 4 5,5 5,0 3,0 549 575 576 548 27 3,5
DN600 670 670 685 725 720 735 735 — — — — — / 5 5,5 5,0 3,0 649 675 676 648 27 3,5
DN700 775 775 800 795 820 840 840 — — — — — / 5 5,5 5,0 3,0 751 777 778 750 27 3,5
DN800 880 880 905 900 930 960 960 — — — — — / 5 5,5 5,0 3,0 856 882 883 855 27 3,5
DN900 980 980 1005 1000 1030 1070 1070 — — — — — / 5 5,5 5,0 3,0 961 987 988 960 27 3,5
DN1000 1080 1080 1110 1115 1140 1180 1180 — — — — — / 5 6,5 6,0 4,0 1062 1092 1094 1060 28 4
DN1200 1280 1295 1330 1330 1350 1380 1380 — — — — — / 5 6,5 6,0 4,0 1262 1292 1294 1260 28 4
DN1400 1480 1510 1535 1530 1560 1600 — — — — — — / 5 6,5 6,0 4,0 1462 1492 1494 1460 28 4
DN1600 1690 1710 1760 1750 1780 1815 — — — — — — / 5 6,5 6,0 4,0 1662 1692 1694 1660 28 4
DN1800 1890 1920 1960 1950 1985 — — — — — — — / 5 6,5 6,0 4,0 1862 1892 1894 1860 28 4
DN2000 2090 2125 2170 2150 2210 — — — — — — — / 5 6,5 6,0 4,0 2062 2092 2094 2060 28 4
DN2200 2295 2335 2370 — — — — — — — — — / 5 — — — — — — — — —
DN2400 2495 2545 2570 — — — — — — — — — / 5 — — — — — — — — —
DN2600 2695 2750 2780 — — — — — — — — — / 5 — — — — — — — — —
DN2800 2910 2960 3000 — — — — — — — — — / 5 — — — — — — — — —
DN3000 3110 3160 3210 — — — — — — — — — / 5 — — — — — — — — —
DN3200 3310 3370 — 	  — — — — — — — — — / 5 — — — — — — — — —
DN3400 3510 3580 —    — — — — — — — — — / 5 — — — — — — — — —
DN3600 3720 3790 —    — — — — — — — — — / 5 — — — — — — — — —
DN3800 3920 —    —    — — — — — — — — — / 5 — — — — — — — — —
DN4000 4120 —    —    — — — — — — — — — / 5 — — — — — — — — —
